prefix,thld_delta,thld_max,instance,tau_star_val,succ_trials,total_trials,Ps_hat,TTS_at_tau_star
kRkX_n12,0.0008,28.0,47,17,2,200,0.01,7789.579801407603
kRkX_n12,0.0008,28.0,48,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,49,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,50,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,51,17,1,199,0.0050251256281407,15540.113926107248
kRkX_n12,0.0008,28.0,52,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,53,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,54,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,55,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,56,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,57,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,58,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,59,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,60,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,61,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,62,17,6,200,0.03,2570.253779619853
kRkX_n12,0.0008,28.0,63,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,64,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,65,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,66,17,1,193,0.005181347150259,15070.38554272216
kRkX_n12,0.0008,28.0,67,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,68,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,69,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,70,17,2,200,0.01,7789.579801407603
kRkX_n12,0.0008,28.0,71,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,72,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,73,17,2,200,0.01,7789.579801407603
kRkX_n12,0.0008,28.0,74,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,75,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,76,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,77,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,78,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,79,17,2,200,0.01,7789.579801407603
kRkX_n12,0.0008,28.0,80,17,2,200,0.01,7789.579801407603
kRkX_n12,0.0008,28.0,81,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,82,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,83,17,3,200,0.015,5179.950330009129
kRkX_n12,0.0008,28.0,84,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,85,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,86,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,87,17,2,200,0.01,7789.579801407603
kRkX_n12,0.0008,28.0,88,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,89,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,90,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,91,17,2,200,0.01,7789.579801407603
kRkX_n12,0.0008,28.0,92,17,3,200,0.015,5179.950330009129
kRkX_n12,0.0008,28.0,93,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,94,17,2,200,0.01,7789.579801407603
kRkX_n12,0.0008,28.0,95,17,2,200,0.01,7789.579801407603
kRkX_n12,0.0008,28.0,96,17,2,200,0.01,7789.579801407603
kRkX_n12,0.0008,28.0,97,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,98,17,4,200,0.02,3875.118910122879
kRkX_n12,0.0008,28.0,99,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,100,17,0,200,0.0,inf
kRkX_n12,0.002,28.0,1,46,1,200,0.005,42261.55830968511
kRkX_n12,0.002,28.0,2,46,2,200,0.01,21077.686521455867
kRkX_n12,0.002,28.0,3,46,3,200,0.015,14016.336187083529
kRkX_n12,0.002,28.0,4,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,5,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,6,46,4,200,0.02,10485.615874450144
kRkX_n12,0.002,28.0,7,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,8,46,2,200,0.01,21077.686521455867
kRkX_n12,0.002,28.0,9,46,5,200,0.025,8367.147293592752
kRkX_n12,0.002,28.0,10,46,2,200,0.01,21077.686521455867
kRkX_n12,0.002,28.0,11,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,12,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,13,46,2,200,0.01,21077.686521455867
kRkX_n12,0.002,28.0,14,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,15,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,16,46,5,200,0.025,8367.147293592752
kRkX_n12,0.002,28.0,17,46,7,200,0.035,5945.961554329721
kRkX_n12,0.002,28.0,18,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,19,46,2,200,0.01,21077.686521455867
kRkX_n12,0.002,28.0,20,46,1,200,0.005,42261.55830968511
kRkX_n12,0.002,28.0,21,46,5,200,0.025,8367.147293592752
kRkX_n12,0.002,28.0,22,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,23,46,3,200,0.015,14016.336187083529
kRkX_n12,0.002,28.0,24,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,25,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,26,46,2,200,0.01,21077.686521455867
kRkX_n12,0.002,28.0,27,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,28,46,2,200,0.01,21077.686521455867
kRkX_n12,0.002,28.0,29,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,30,46,2,200,0.01,21077.686521455867
kRkX_n12,0.002,28.0,31,46,3,200,0.015,14016.336187083529
kRkX_n12,0.002,28.0,32,46,9,200,0.045,4600.77559501083
kRkX_n12,0.002,28.0,33,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,34,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,35,46,1,200,0.005,42261.55830968511
kRkX_n12,0.002,28.0,36,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,37,46,6,200,0.03,6954.804344853721
kRkX_n12,0.002,28.0,38,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,39,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,40,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,41,46,5,200,0.025,8367.147293592752
kRkX_n12,0.002,28.0,42,46,2,200,0.01,21077.686521455867
kRkX_n12,0.002,28.0,43,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,44,46,1,200,0.005,42261.55830968511
kRkX_n12,0.002,28.0,45,46,3,200,0.015,14016.336187083529
kRkX_n12,0.002,28.0,46,46,3,200,0.015,14016.336187083529
kRkX_n12,0.002,28.0,47,46,7,200,0.035,5945.961554329721
kRkX_n12,0.002,28.0,48,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,49,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,50,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,51,46,5,200,0.025,8367.147293592752
kRkX_n12,0.002,28.0,52,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,53,46,2,200,0.01,21077.686521455867
kRkX_n12,0.002,28.0,54,46,1,200,0.005,42261.55830968511
kRkX_n12,0.002,28.0,55,46,2,200,0.01,21077.686521455867
kRkX_n12,0.002,28.0,56,46,4,200,0.02,10485.615874450144
kRkX_n12,0.002,28.0,57,46,6,200,0.03,6954.804344853721
kRkX_n12,0.002,28.0,58,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,59,46,1,200,0.005,42261.55830968511
kRkX_n12,0.002,28.0,60,46,2,200,0.01,21077.686521455867
kRkX_n12,0.002,28.0,61,46,2,200,0.01,21077.686521455867
kRkX_n12,0.002,28.0,62,46,5,200,0.025,8367.147293592752
kRkX_n12,0.002,28.0,63,46,3,200,0.015,14016.336187083529
kRkX_n12,0.002,28.0,64,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,65,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,66,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,67,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,68,46,0,200,0.0,inf
kRkX_n12,0.002,28.0,69,46,1,200,0.005,42261.55830968511
kRkX_n12,0.002,28.0,70,46,2,200,0.01,21077.686521455867
