prefix,thld_delta,thld_max,instance,tau_star_val,succ_trials,total_trials,Ps_hat,TTS_at_tau_star
3R3X_n112,0.0002,20.0,77,70324,21,200,0.105,2919403.514154006
3R3X_n112,0.0002,20.0,78,70324,25,200,0.125,2425302.258848394
3R3X_n112,0.0002,20.0,79,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,80,70324,21,200,0.105,2919403.514154006
3R3X_n112,0.0002,20.0,81,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,82,70324,21,200,0.105,2919403.514154006
3R3X_n112,0.0002,20.0,83,70324,13,200,0.065,4818628.372594001
3R3X_n112,0.0002,20.0,84,70324,45,199,0.2261306532663316,1263316.4840159174
3R3X_n112,0.0002,20.0,85,70324,19,200,0.095,3244368.867764571
3R3X_n112,0.0002,20.0,86,70324,46,200,0.23,1239088.1733120068
3R3X_n112,0.0002,20.0,87,70324,61,200,0.305,890091.6119817706
3R3X_n112,0.0002,20.0,88,70324,44,200,0.22,1303438.0439428843
3R3X_n112,0.0002,20.0,89,70324,39,200,0.195,1493013.2625752727
3R3X_n112,0.0002,20.0,90,70324,45,200,0.225,1270552.5124089424
3R3X_n112,0.0002,20.0,91,70324,25,200,0.125,2425302.258848394
3R3X_n112,0.0002,20.0,92,70324,30,200,0.15,1992715.489575388
3R3X_n112,0.0002,20.0,93,70324,28,200,0.14,2147246.9379769936
3R3X_n112,0.0002,20.0,94,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,95,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,96,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,97,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,98,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,99,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,100,70324,0,200,0.0,inf
3R3X_n112,0.0003,20.0,1,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,2,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,3,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,4,44044,49,200,0.245,721718.9670869842
3R3X_n112,0.0003,20.0,5,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,6,44044,12,200,0.06,3278041.0871463586
3R3X_n112,0.0003,20.0,7,44044,28,200,0.14,1344823.16330497
3R3X_n112,0.0003,20.0,8,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,9,44044,13,200,0.065,3017912.349162877
3R3X_n112,0.0003,20.0,10,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,11,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,12,44044,36,200,0.18,1022066.7988570984
3R3X_n112,0.0003,20.0,13,44044,33,200,0.165,1124812.1003870205
3R3X_n112,0.0003,20.0,14,44044,10,200,0.05,3954320.308209497
3R3X_n112,0.0003,20.0,15,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,16,44044,22,200,0.11,1740525.8163533343
3R3X_n112,0.0003,20.0,17,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,18,44044,48,200,0.24,739077.5650150189
3R3X_n112,0.0003,20.0,19,44044,25,200,0.125,1518969.5223354567
3R3X_n112,0.0003,20.0,20,44044,23,200,0.115,1660260.6522974954
3R3X_n112,0.0003,20.0,21,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,22,44044,13,200,0.065,3017912.349162877
3R3X_n112,0.0003,20.0,23,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,24,44044,36,200,0.18,1022066.7988570984
3R3X_n112,0.0003,20.0,25,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,26,44044,26,200,0.13,1456463.4832392496
3R3X_n112,0.0003,20.0,27,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,28,44044,31,200,0.155,1204320.9805724137
3R3X_n112,0.0003,20.0,29,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,30,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,31,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,32,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,33,44044,21,200,0.105,1828425.692187575
3R3X_n112,0.0003,20.0,34,44044,22,200,0.11,1740525.8163533343
3R3X_n112,0.0003,20.0,35,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,36,44044,32,200,0.16,1163327.6473329165
3R3X_n112,0.0003,20.0,37,44044,14,200,0.07,2794931.504006485
